time,AAVE-USDT-SWAP,ADA-USDT-SWAP,AGLD-USDT-SWAP,ALGO-USDT-SWAP,APE-USDT-SWAP,API3-USDT-SWAP,APT-USDT-SWAP,AR-USDT-SWAP,ARB-USDT-SWAP,ATOM-USDT-SWAP,AVAX-USDT-SWAP,AXS-USDT-SWAP,BAT-USDT-SWAP,BCH-USDT-SWAP,BLUR-USDT-SWAP,BNB-USDT-SWAP,BONK-USDT-SWAP,BTC-USDT-SWAP,CELO-USDT-SWAP,CFX-USDT-SWAP,CHZ-USDT-SWAP,COMP-USDT-SWAP,CORE-USDT-SWAP,CRO-USDT-SWAP,CRV-USDT-SWAP,DOGE-USDT-SWAP,DOT-USDT-SWAP,DYDX-USDT-SWAP,ENS-USDT-SWAP,ETC-USDT-SWAP,ETH-USDT-SWAP,ETHFI-USDT-SWAP,FIL-USDT-SWAP,FLOKI-USDT-SWAP,FLOW-USDT-SWAP,GALA-USDT-SWAP,GMT-USDT-SWAP,HBAR-USDT-SWAP,ICP-USDT-SWAP,IMX-USDT-SWAP,INJ-USDT-SWAP,IOTA-USDT-SWAP,JTO-USDT-SWAP,LDO-USDT-SWAP,LINK-USDT-SWAP,LPT-USDT-SWAP,LTC-USDT-SWAP,LUNA-USDT-SWAP,MAGIC-USDT-SWAP,MANA-USDT-SWAP,MASK-USDT-SWAP,MEME-USDT-SWAP,NEAR-USDT-SWAP,NEO-USDT-SWAP,ONDO-USDT-SWAP,OP-USDT-SWAP,ORDI-USDT-SWAP,PEOPLE-USDT-SWAP,PEPE-USDT-SWAP,PYTH-USDT-SWAP,RSR-USDT-SWAP,SAND-USDT-SWAP,SATS-USDT-SWAP,SHIB-USDT-SWAP,SNX-USDT-SWAP,SOL-USDT-SWAP,STRK-USDT-SWAP,STX-USDT-SWAP,SUI-USDT-SWAP,SUSHI-USDT-SWAP,THETA-USDT-SWAP,TIA-USDT-SWAP,TRB-USDT-SWAP,TRX-USDT-SWAP,TURBO-USDT-SWAP,UNI-USDT-SWAP,WIF-USDT-SWAP,WLD-USDT-SWAP,XLM-USDT-SWAP,XRP-USDT-SWAP,XTZ-USDT-SWAP,YGG-USDT-SWAP
2025-11-30 00:00:00+00:00,0.86,0.18666666666666668,,0.34,,0.68,0.07333333333333333,0.7866666666666666,0.5066666666666667,0.34,0.58,,,0.6533333333333333,,0.4466666666666667,,0.54,,0.43333333333333335,,,,0.5866666666666667,0.8666666666666666,0.5133333333333333,0.2733333333333334,0.4533333333333333,0.45999999999999996,0.58,0.5933333333333334,,0.6933333333333334,0.42,,0.3933333333333333,,0.62,0.6,0.10666666666666667,,,,0.48,0.5333333333333333,,0.4533333333333333,,0.43999999999999995,,,,0.5,,,0.5733333333333334,0.7133333333333334,0.7733333333333333,0.5866666666666667,,,0.34,,0.7800000000000001,0.05333333333333332,0.5866666666666668,,,0.40666666666666673,0.3,,0.26666666666666666,0.52,0.5866666666666667,,0.5933333333333334,,0.5866666666666668,0.7933333333333333,0.9066666666666666,,0.14
2025-12-01 00:00:00+00:00,0.7733333333333334,0.21999999999999997,,,,,0.07333333333333333,0.82,0.5266666666666667,0.32666666666666666,0.46,,,0.7600000000000001,,0.48,,0.54,,0.3866666666666667,,,,0.48666666666666664,0.8866666666666666,0.42,0.28,0.47333333333333333,0.49333333333333335,0.6466666666666667,0.66,,0.6533333333333333,0.4066666666666667,,0.41333333333333333,,0.4266666666666667,0.5933333333333334,0.09999999999999999,0.68,,,0.52,0.5399999999999999,,0.44,,0.3666666666666667,,,0.6133333333333334,0.49333333333333335,,,0.5666666666666667,0.7466666666666666,0.7866666666666666,0.64,0.35333333333333333,,,,0.6933333333333334,0.03333333333333333,0.5333333333333333,,,0.49333333333333335,0.2866666666666667,,0.45999999999999996,0.5933333333333334,0.6466666666666666,,0.6133333333333333,,0.5733333333333334,0.5666666666666667,0.7999999999999999,,0.15333333333333335
2025-12-02 00:00:00+00:00,0.9066666666666666,0.10666666666666667,,,,,0.08666666666666667,0.9533333333333333,0.41333333333333333,0.5133333333333333,0.3933333333333333,,,0.9266666666666666,,0.40666666666666673,,0.5133333333333333,,0.26,,,,0.68,0.8733333333333334,0.35333333333333333,0.3333333333333333,0.45999999999999996,0.46666666666666673,0.7599999999999999,0.5466666666666666,,0.9133333333333332,0.22666666666666668,,0.26666666666666666,,0.54,0.7999999999999999,0.07333333333333333,0.66,,,0.4333333333333333,0.5066666666666667,,0.5533333333333333,,0.4066666666666667,,,0.68,0.54,,,0.49333333333333335,0.7866666666666666,0.8666666666666667,0.3866666666666667,0.35999999999999993,,,,0.7000000000000001,0.06666666666666667,0.49333333333333335,,,0.18000000000000002,0.2333333333333333,,0.43333333333333335,0.6533333333333333,0.6733333333333333,,0.7933333333333333,,0.5599999999999999,0.5533333333333333,0.6133333333333333,,0.09999999999999999
2025-12-03 00:00:00+00:00,0.9266666666666666,0.5133333333333333,,,,,0.04,0.8933333333333332,0.48666666666666675,0.3666666666666667,0.37999999999999995,,,0.9733333333333333,,0.5066666666666667,,0.6466666666666666,,0.16666666666666666,,,,0.5733333333333334,0.4666666666666666,0.35999999999999993,0.4533333333333333,0.24,0.5933333333333333,0.6333333333333333,0.5933333333333334,,0.7066666666666667,0.3666666666666667,,0.32,,0.68,0.47333333333333333,0.11333333333333333,0.6266666666666666,,,0.25333333333333335,0.7200000000000001,,0.5,,0.38000000000000006,,,0.4266666666666667,0.54,,,0.48666666666666664,0.7133333333333334,0.7999999999999999,0.5733333333333334,0.22,,,,0.5333333333333333,0.14666666666666667,0.62,,,0.7533333333333334,0.22,,0.47333333333333333,0.5666666666666668,0.7133333333333334,,0.6266666666666666,,0.5800000000000001,0.8066666666666666,0.6933333333333334,,0.05333333333333334
2025-12-04 00:00:00+00:00,0.9199999999999999,0.48666666666666664,,,,,0.04,0.82,0.52,0.30000000000000004,0.54,,,0.9933333333333333,,0.6933333333333334,,0.5933333333333334,,0.19333333333333336,,,,0.42,0.54,0.4666666666666666,0.52,0.28,0.6266666666666666,0.6666666666666666,0.7200000000000001,,0.6133333333333333,0.40666666666666673,,0.4533333333333333,,0.4666666666666666,0.36000000000000004,0.12666666666666668,0.52,,,0.41333333333333333,0.8933333333333332,,0.5599999999999999,,0.2866666666666667,,,0.3266666666666667,0.40666666666666673,,,0.5066666666666667,0.7000000000000001,0.7066666666666667,0.58,0.22666666666666668,,,,0.8333333333333334,0.12666666666666668,0.6066666666666667,,,0.6733333333333332,0.19333333333333336,,0.45999999999999996,0.7399999999999999,0.68,,0.5666666666666667,,0.3733333333333333,0.6666666666666666,0.64,,0.04666666666666667
2025-12-05 00:00:00+00:00,0.9266666666666666,0.5466666666666667,,,,,0.04666666666666667,0.7599999999999999,0.47333333333333333,0.22666666666666668,0.5333333333333333,,,0.9933333333333333,,0.7533333333333334,,0.6333333333333333,,0.15333333333333335,,,,0.45333333333333337,0.5,0.5,0.48,0.24666666666666667,0.7000000000000001,0.6866666666666665,0.8533333333333334,,0.6866666666666666,0.38666666666666666,,0.36000000000000004,,0.39999999999999997,0.19999999999999998,0.13333333333333333,0.48666666666666664,,,0.36000000000000004,0.8799999999999999,,0.58,,0.32666666666666666,,,0.24,0.5533333333333333,,,0.45999999999999996,0.7200000000000001,0.6466666666666666,0.64,0.21333333333333335,,,,0.7799999999999999,0.08666666666666667,0.5866666666666666,,,0.7266666666666666,0.16,,0.39333333333333337,0.7333333333333333,0.9333333333333332,,0.6733333333333333,,0.4066666666666667,0.6733333333333333,0.5666666666666667,,0.04
2025-12-06 00:00:00+00:00,0.8999999999999999,0.5466666666666667,,,,,0.04,0.8266666666666667,0.42,0.18000000000000002,0.31333333333333335,,,0.9199999999999999,,0.8266666666666667,,0.5866666666666668,,0.16,,,,0.6466666666666666,0.6133333333333334,0.45333333333333337,0.4533333333333333,0.3066666666666667,0.6066666666666668,0.6466666666666666,0.8266666666666667,,0.7266666666666666,0.3,,0.32,,0.4466666666666666,0.22666666666666668,0.15333333333333332,0.6066666666666667,,,0.21999999999999997,0.8933333333333332,,0.6333333333333333,,0.44,,,0.22,0.5599999999999999,,,0.49333333333333335,0.7933333333333333,0.6333333333333333,0.62,0.26666666666666666,,,,0.7466666666666667,0.06666666666666667,0.6,,,0.7733333333333333,0.21999999999999997,,0.43333333333333335,0.7466666666666666,0.9533333333333333,,0.6066666666666666,,0.3333333333333333,0.5866666666666667,0.56,,0.04666666666666667
2025-12-07 00:00:00+00:00,0.9199999999999999,0.5,,,,,0.02666666666666667,0.6666666666666666,0.48666666666666664,0.16666666666666666,0.3666666666666667,,,0.9266666666666667,,0.8333333333333334,,0.5266666666666667,,0.20666666666666667,,,,0.6,0.5266666666666667,0.4266666666666667,0.3333333333333333,0.18000000000000002,0.5533333333333333,0.64,0.82,,0.6466666666666666,0.48,,0.36000000000000004,,0.42,0.13999999999999999,0.26666666666666666,0.5533333333333333,,,0.17333333333333334,0.9199999999999999,,0.66,,0.48,,,0.39333333333333337,0.47333333333333333,,,0.62,0.8733333333333334,0.7666666666666666,0.7000000000000001,0.30666666666666664,,,,0.7866666666666667,0.06666666666666667,0.5533333333333332,,,0.7799999999999999,0.15333333333333335,,0.4000000000000001,0.8266666666666667,0.9866666666666667,,0.5599999999999999,,0.3333333333333333,0.5266666666666667,0.52,,0.06666666666666667
2025-12-08 00:00:00+00:00,0.9333333333333332,0.6933333333333334,,,,,0.04,0.45999999999999996,0.58,0.08666666666666667,0.6733333333333333,,,0.98,,0.8866666666666667,,0.8066666666666666,,0.16666666666666666,,,,0.6733333333333333,0.5533333333333333,0.4666666666666666,0.27999999999999997,0.2066666666666667,0.5333333333333333,0.38000000000000006,0.9266666666666666,,0.15333333333333335,0.5266666666666667,,0.3466666666666667,,0.37333333333333335,0.21999999999999997,0.32,0.5800000000000001,,,0.35333333333333333,0.9133333333333332,,0.6533333333333333,,0.52,,,0.21333333333333335,0.42,,,0.6133333333333333,0.68,0.6066666666666666,0.7133333333333334,0.24000000000000002,,,,0.7999999999999999,0.060000000000000005,0.7600000000000001,,,0.9066666666666666,0.22,,0.16,0.7200000000000001,0.98,,0.6466666666666666,,0.26,0.5466666666666666,0.62,,0.04666666666666667
2025-12-09 00:00:00+00:00,0.9,0.6866666666666666,,,,,0.06,0.3666666666666667,0.5466666666666666,0.14666666666666667,0.5733333333333334,,,0.9,,0.8933333333333334,,0.7333333333333334,,0.26666666666666666,,,,0.47333333333333333,0.52,0.47333333333333333,0.26666666666666666,0.08666666666666667,0.54,0.3866666666666667,0.9666666666666667,,0.18000000000000002,0.7200000000000001,,0.48000000000000004,,0.3466666666666667,0.07333333333333335,0.26666666666666666,0.5933333333333333,,,0.37999999999999995,0.9266666666666666,,0.58,,0.7333333333333334,,,0.20666666666666667,0.38000000000000006,,,0.6466666666666666,0.8999999999999999,0.7400000000000001,0.8066666666666666,0.25333333333333335,,,,0.7600000000000001,0.08666666666666667,0.5866666666666667,,,0.8533333333333332,0.18666666666666668,,0.31333333333333335,0.7333333333333334,0.8066666666666666,,0.5466666666666666,,0.5266666666666667,0.49333333333333335,0.52,,0.08666666666666667
2025-12-10 00:00:00+00:00,0.9,0.8066666666666666,,,,,0.05333333333333334,0.4733333333333334,0.5533333333333333,0.20000000000000004,0.7266666666666667,,,0.9333333333333332,,0.6933333333333334,,0.64,,0.3866666666666667,,,,0.3666666666666667,0.6733333333333333,0.42,0.41333333333333333,0.04666666666666667,0.45999999999999996,0.48,0.9666666666666667,,0.20666666666666667,0.68,,0.5133333333333333,,0.32666666666666666,0.16,0.2133333333333333,0.42,,,0.4266666666666667,0.88,,0.5266666666666667,,0.9333333333333332,,,0.18000000000000002,0.25333333333333335,,,0.7133333333333334,0.8799999999999999,0.7799999999999999,0.7999999999999999,0.14666666666666667,,,,0.5933333333333334,0.05333333333333334,0.4533333333333333,,,0.6133333333333334,0.18000000000000002,,0.39999999999999997,0.8666666666666667,0.7599999999999999,,0.5266666666666667,,0.49333333333333335,0.5333333333333333,0.4000000000000001,,0.39333333333333337
2025-12-11 00:00:00+00:00,0.9533333333333333,0.84,,,,,0.04,0.48666666666666664,0.62,0.13333333333333333,0.5533333333333333,,,0.8733333333333334,,0.7333333333333334,,0.7333333333333334,,0.32,,,,0.3933333333333333,0.5733333333333334,0.41333333333333333,0.31333333333333335,0.04666666666666667,0.3933333333333333,0.5133333333333333,0.9866666666666667,,0.10000000000000002,0.7799999999999999,,0.5133333333333334,,0.31333333333333335,0.26,0.18666666666666668,0.4533333333333333,,,0.47333333333333333,0.8133333333333334,,0.66,,0.9199999999999999,,,0.19333333333333333,0.4000000000000001,,,0.7666666666666667,0.8133333333333334,0.7733333333333333,0.7533333333333333,0.12,,,,0.64,0.05333333333333334,0.52,,,0.7799999999999999,0.09333333333333334,,0.41333333333333333,0.84,0.8066666666666666,,0.21999999999999997,,0.5466666666666666,0.6266666666666667,0.32,,0.4266666666666667
2025-12-12 00:00:00+00:00,0.9866666666666667,0.6066666666666666,,,,,0.04666666666666667,0.5,0.6666666666666666,0.10666666666666667,0.37333333333333335,,,0.9466666666666667,,0.7799999999999999,,0.84,,0.34,,,,0.4533333333333333,0.6,0.4533333333333333,0.19999999999999998,0.05333333333333334,0.35333333333333333,0.48,0.9733333333333333,,0.06,0.7533333333333334,,0.56,,0.26666666666666666,0.2733333333333334,0.2466666666666667,0.45999999999999996,,,0.48,0.8933333333333332,,0.6733333333333333,,0.8866666666666667,,,0.26666666666666666,0.2933333333333334,,,0.7000000000000001,0.9066666666666666,0.7533333333333333,0.7066666666666667,0.13333333333333333,,,,0.6999999999999998,0.07333333333333333,0.7666666666666666,,,0.8333333333333334,0.18000000000000002,,0.3933333333333333,0.7533333333333333,0.4666666666666666,,0.24666666666666667,,0.48,0.66,0.5066666666666667,,0.3666666666666667
2025-12-13 00:00:00+00:00,0.96,0.5666666666666667,,,,,0.07333333333333335,0.43333333333333335,0.7200000000000001,0.14666666666666667,0.46666666666666673,,,0.98,,0.7733333333333333,,0.7866666666666666,,0.41333333333333333,,,,0.48666666666666664,0.7466666666666666,0.46666666666666673,0.25333333333333335,0.08,0.35333333333333333,0.48666666666666664,0.9,,0.05333333333333334,0.7400000000000001,,0.52,,0.24,0.16666666666666666,0.19333333333333336,0.4266666666666667,,,0.6333333333333333,0.8533333333333334,,0.7666666666666667,,0.9733333333333333,,,0.14666666666666667,0.32666666666666666,,,0.7200000000000001,0.9533333333333333,0.58,0.6333333333333333,0.13333333333333333,,,,0.68,0.08,0.6933333333333334,,,0.7933333333333333,0.18666666666666668,,0.5,0.7666666666666666,0.24,,0.35333333333333333,,0.5533333333333333,0.6333333333333334,0.48666666666666664,,0.37999999999999995
2025-12-14 00:00:00+00:00,0.96,0.5866666666666668,,,,,0.13999999999999999,0.4666666666666666,0.8533333333333334,0.16,0.6066666666666666,,,0.86,,0.8533333333333334,,0.7533333333333334,,0.6733333333333333,,,,0.3333333333333333,0.7533333333333333,0.54,0.2733333333333334,0.04666666666666667,0.3466666666666667,0.5066666666666667,0.9,,0.04,0.6666666666666666,,0.5066666666666667,,0.21333333333333337,0.18000000000000002,0.20000000000000004,0.3933333333333333,,,0.6133333333333333,0.7666666666666666,,0.6066666666666667,,0.9333333333333332,,,0.13333333333333333,0.34,,,0.7000000000000001,0.9733333333333333,0.62,0.6066666666666667,0.15333333333333335,,,,0.6733333333333333,0.08666666666666667,0.7933333333333333,,,0.84,0.19333333333333333,,0.5199999999999999,0.6866666666666665,0.13999999999999999,,0.32666666666666666,,0.64,0.5466666666666667,0.5,,0.2933333333333334
2025-12-15 00:00:00+00:00,0.96,0.5333333333333333,,,,,0.16666666666666666,0.3333333333333333,0.8266666666666667,0.20666666666666667,0.5733333333333334,,,0.7399999999999999,,0.8133333333333334,,0.6666666666666666,,0.7066666666666667,,,,0.37333333333333335,0.6466666666666666,0.56,0.26,0.06666666666666667,0.2866666666666667,0.5266666666666667,0.9133333333333334,,0.04,0.6866666666666666,,0.46666666666666673,,0.20666666666666667,0.16666666666666666,0.22666666666666666,0.4666666666666666,,,0.6533333333333333,0.8333333333333334,,0.54,,0.9199999999999999,,,0.09333333333333334,0.32,,,0.7000000000000001,0.9866666666666667,0.5599999999999999,0.6133333333333333,0.13333333333333333,,,,0.6866666666666666,0.08666666666666667,0.7999999999999999,,,0.86,0.2333333333333333,,0.4066666666666667,0.7799999999999999,0.40666666666666673,,0.39999999999999997,,0.6266666666666666,0.5599999999999999,0.5066666666666667,,0.37333333333333335
2025-12-16 00:00:00+00:00,0.9866666666666667,0.6066666666666667,,,,,0.14666666666666667,0.26,0.7866666666666667,0.14666666666666667,0.6,,,0.86,,0.8333333333333334,,0.7266666666666666,,0.7533333333333333,,,,0.6066666666666666,0.52,0.48,0.37333333333333335,0.2733333333333333,0.22666666666666668,0.34,0.9066666666666666,,0.02666666666666667,0.5466666666666667,,0.43999999999999995,,0.22,0.3333333333333333,0.20000000000000004,0.47333333333333333,,,0.6066666666666667,0.8733333333333334,,0.5266666666666667,,0.9866666666666667,,,0.12,0.43333333333333335,,,0.7400000000000001,0.9533333333333333,0.49333333333333335,0.5933333333333333,0.14666666666666667,,,,0.6533333333333334,0.03333333333333333,0.8533333333333334,,,0.8866666666666667,0.23333333333333336,,0.25333333333333335,0.54,0.7933333333333333,,0.23333333333333336,,0.44,0.52,0.4666666666666666,,0.4466666666666667
2025-12-17 00:00:00+00:00,0.9066666666666666,0.41333333333333333,,,,,0.21333333333333337,0.25333333333333335,0.7733333333333334,0.04666666666666667,0.5066666666666667,,,0.96,,0.9199999999999999,,0.7799999999999999,,0.7799999999999999,,,,0.58,0.7600000000000001,0.5266666666666667,0.24666666666666667,0.3466666666666667,0.22666666666666666,0.54,0.7799999999999999,,0.05333333333333332,0.54,,0.3866666666666667,,0.19333333333333336,0.32,0.19333333333333336,0.44,,,0.6333333333333333,0.82,,0.6333333333333333,,0.8333333333333334,,,0.08666666666666667,0.4466666666666667,,,0.6266666666666666,0.9866666666666667,0.54,0.6266666666666667,0.22,,,,0.6333333333333334,0.09333333333333334,0.82,,,0.8733333333333334,0.22666666666666668,,0.3,0.6,0.86,,0.38666666666666666,,0.3133333333333333,0.38000000000000006,0.62,,0.25333333333333335
2025-12-18 00:00:00+00:00,0.9400000000000001,0.45999999999999996,,,,,0.2866666666666667,0.17333333333333334,0.6866666666666665,0.08,0.5,,,0.9666666666666667,,0.88,,0.8066666666666666,,0.7133333333333334,,,,0.5866666666666667,0.7666666666666666,0.5866666666666668,0.2933333333333334,0.22666666666666668,0.18666666666666668,0.39999999999999997,0.6866666666666666,,0.03333333333333333,0.5466666666666667,,0.38000000000000006,,0.2333333333333333,0.2066666666666667,0.15333333333333335,0.44,,,0.5533333333333333,0.7466666666666667,,0.6333333333333333,,0.8866666666666666,,,0.12666666666666668,0.5066666666666667,,,0.6933333333333334,0.9733333333333333,0.6066666666666668,0.7533333333333333,0.22666666666666666,,,,0.5733333333333334,0.09333333333333334,0.7866666666666666,,,0.9066666666666666,0.2866666666666667,,0.3466666666666667,0.6466666666666666,0.9133333333333334,,0.3466666666666667,,0.3666666666666667,0.38000000000000006,0.68,,0.24666666666666667
2025-12-19 00:00:00+00:00,0.86,0.54,,,,,0.27999999999999997,0.18000000000000002,0.6066666666666668,0.08666666666666667,0.6333333333333334,,,0.9933333333333333,,0.8799999999999999,,0.8533333333333334,,0.7133333333333334,,,,0.43333333333333335,0.7466666666666667,0.49333333333333335,0.4066666666666667,0.14,0.17333333333333334,0.4466666666666666,0.8266666666666667,,0.14666666666666667,0.52,,0.2866666666666667,,0.2333333333333333,0.21333333333333335,0.13333333333333333,0.42,,,0.6533333333333333,0.7333333333333334,,0.62,,0.8999999999999999,,,0.10666666666666667,0.5866666666666667,,,0.7066666666666667,0.9333333333333332,0.62,0.66,0.2733333333333334,,,,0.3333333333333333,0.12,0.64,,,0.8866666666666667,0.19333333333333333,,0.2933333333333334,0.68,0.9533333333333333,,0.5199999999999999,,0.39999999999999997,0.4066666666666667,0.7266666666666666,,0.30666666666666664
2025-12-20 00:00:00+00:00,0.86,0.5266666666666667,,,,,0.5733333333333334,0.22,0.7066666666666667,0.15333333333333335,0.62,,,0.9933333333333333,,0.7599999999999999,,0.84,,0.7866666666666666,,,,0.46,0.36000000000000004,0.6933333333333334,0.3133333333333333,0.06666666666666667,0.15333333333333335,0.5666666666666668,0.8733333333333334,,0.42,0.52,,0.30000000000000004,,0.22666666666666666,0.15333333333333335,0.03333333333333333,0.4000000000000001,,,0.7000000000000001,0.58,,0.5266666666666667,,0.5066666666666667,,,0.18666666666666668,0.5133333333333333,,,0.5266666666666667,0.9066666666666666,0.9333333333333332,0.7799999999999999,0.21999999999999997,,,,0.40666666666666673,0.18666666666666665,0.68,,,0.86,0.32,,0.20666666666666667,0.6933333333333334,0.7866666666666666,,0.66,,0.42,0.47333333333333333,0.62,,0.22666666666666668
2025-12-21 00:00:00+00:00,0.7333333333333334,0.49333333333333335,,,,,0.5266666666666667,0.36000000000000004,0.5,0.09333333333333334,0.5466666666666667,,,0.9733333333333333,,0.7066666666666667,,0.9066666666666666,,0.7333333333333333,,,,0.62,0.44,0.6733333333333333,0.22666666666666666,0.04,0.16666666666666666,0.5066666666666667,0.8733333333333334,,0.5399999999999999,0.3866666666666667,,0.24666666666666667,,0.3733333333333333,0.7266666666666666,0.04666666666666667,0.3,,,0.58,0.5666666666666668,,0.6066666666666667,,0.5266666666666667,,,0.10666666666666667,0.39333333333333337,,,0.3866666666666667,0.7466666666666667,0.8733333333333334,0.7200000000000001,0.4066666666666667,,,,0.31333333333333335,0.18000000000000002,0.7133333333333333,,,0.7866666666666666,0.48,,0.14,0.5466666666666667,0.8533333333333334,,0.94,,0.3666666666666667,0.4666666666666666,0.7666666666666666,,0.29333333333333333
2025-12-22 00:00:00+00:00,0.42,0.43333333333333335,,,,,0.5266666666666667,0.20666666666666667,0.5466666666666666,0.09333333333333334,0.5333333333333333,,,0.96,,0.7666666666666666,,0.8933333333333332,,0.6733333333333333,,,,0.6533333333333333,0.5,0.7333333333333334,0.24666666666666667,0.03333333333333333,0.22666666666666666,0.45999999999999996,0.8866666666666667,,0.38666666666666666,0.45999999999999996,,0.26,,0.3666666666666667,0.5733333333333334,0.04666666666666667,0.2333333333333333,,,0.5533333333333333,0.6,,0.5733333333333334,,0.5666666666666668,,,0.12,0.4066666666666667,,,0.38666666666666666,0.6733333333333333,0.86,0.7599999999999999,0.4466666666666667,,,,0.29333333333333333,0.22666666666666668,0.7533333333333333,,,0.7399999999999999,0.4466666666666666,,0.17333333333333334,0.6133333333333334,0.9933333333333333,,0.9066666666666666,,0.4066666666666667,0.5066666666666667,0.7133333333333333,,0.66
2025-12-23 00:00:00+00:00,0.24666666666666667,0.4466666666666666,,,,,0.5533333333333333,0.29333333333333333,0.52,0.10666666666666667,0.7000000000000001,,,0.96,,0.7999999999999999,,0.9266666666666667,,0.7133333333333334,,,,0.56,0.8999999999999999,0.7333333333333334,0.19333333333333336,0.04666666666666666,0.2933333333333334,0.48666666666666664,0.8933333333333332,,0.47333333333333333,0.35333333333333333,,0.32666666666666666,,0.44,0.5733333333333334,0.05333333333333334,0.30666666666666664,,,0.62,0.6466666666666666,,0.5,,0.34,,,0.08666666666666667,0.35333333333333333,,,0.3666666666666667,0.6933333333333334,0.8466666666666667,0.5933333333333334,0.3933333333333333,,,,0.26666666666666666,0.3466666666666667,0.6866666666666666,,,0.7866666666666666,0.38000000000000006,,0.13333333333333333,0.6133333333333334,0.98,,0.9199999999999999,,0.24,0.6666666666666666,0.6933333333333334,,0.4466666666666667
2025-12-24 00:00:00+00:00,0.24666666666666667,0.38000000000000006,,,,,0.5666666666666668,0.3,0.6533333333333333,0.30000000000000004,0.66,,,0.9666666666666667,,0.68,,0.8533333333333334,,0.6733333333333333,,,,0.46,0.8733333333333334,0.5866666666666667,0.13333333333333333,0.12,0.21999999999999997,0.36666666666666664,0.8466666666666667,,0.5466666666666666,0.4266666666666667,,0.28,,0.16,0.5533333333333333,0.08,0.3666666666666667,,,0.5933333333333334,0.6266666666666666,,0.54,,0.7666666666666666,,,0.25333333333333335,0.3666666666666667,,,0.38000000000000006,0.6333333333333333,0.8466666666666667,0.62,0.42,,,,0.2733333333333333,0.44,0.6266666666666667,,,0.7866666666666666,0.3666666666666667,,0.14,0.7133333333333334,0.9866666666666667,,0.9,,0.24666666666666667,0.5,0.5733333333333334,,0.6
2025-12-25 00:00:00+00:00,0.21333333333333335,0.31333333333333335,,,,,0.6666666666666666,0.4266666666666667,0.64,0.36000000000000004,0.6266666666666667,,,0.9133333333333332,,0.7266666666666667,,0.8133333333333334,,0.9533333333333333,,,,0.44,0.84,0.6066666666666667,0.10666666666666667,0.05333333333333334,0.32,0.37999999999999995,0.7666666666666666,,0.5266666666666667,0.4466666666666666,,0.3,,0.12,0.6133333333333333,0.21999999999999997,0.34,,,0.6933333333333334,0.5866666666666667,,0.4266666666666667,,0.58,,,0.3333333333333333,0.26666666666666666,,,0.37333333333333335,0.7999999999999999,0.8533333333333334,0.66,0.47333333333333333,,,,0.28,0.66,0.5,,,0.6733333333333333,0.4000000000000001,,0.13333333333333333,0.7466666666666666,0.8066666666666666,,0.9266666666666667,,0.2333333333333333,0.36000000000000004,0.3866666666666667,,0.6133333333333334
2025-12-26 00:00:00+00:00,0.23333333333333336,0.34,,,,,0.6733333333333333,0.48,0.66,0.47333333333333333,0.7400000000000001,,,0.8933333333333332,,0.5733333333333334,,0.7333333333333334,,0.86,,,,0.38666666666666666,0.9333333333333332,0.4466666666666667,0.14666666666666667,0.24666666666666667,0.36000000000000004,0.3,0.6533333333333333,,0.38000000000000006,0.43333333333333335,,0.3466666666666667,,0.2866666666666667,0.6066666666666667,0.24666666666666667,0.26666666666666666,,,0.7333333333333334,0.52,,0.5466666666666667,,0.6866666666666666,,,0.31333333333333335,0.35333333333333333,,,0.3,0.86,0.8133333333333334,0.62,0.6266666666666667,,,,0.18666666666666668,0.58,0.3933333333333333,,,0.5733333333333334,0.34,,0.16666666666666666,0.86,0.6733333333333333,,0.96,,0.28,0.35333333333333333,0.36000000000000004,,0.7000000000000001
2025-12-27 00:00:00+00:00,0.22666666666666668,0.3,,,,,0.7200000000000001,0.4066666666666667,0.6933333333333334,0.64,0.6933333333333334,,,0.7200000000000001,,0.5,,0.6666666666666666,,0.8066666666666666,,,,0.10666666666666667,0.84,0.19333333333333333,0.11333333333333334,0.32,0.3,0.22,0.7000000000000001,,0.2733333333333334,0.4533333333333333,,0.3333333333333333,,0.37333333333333335,0.58,0.39333333333333337,0.38000000000000006,,,0.7600000000000001,0.5533333333333333,,0.5733333333333334,,0.7000000000000001,,,0.5933333333333333,0.56,,,0.45999999999999996,0.8933333333333332,0.7200000000000001,0.6866666666666666,0.5399999999999999,,,,0.19333333333333333,0.6133333333333334,0.43333333333333335,,,0.5733333333333334,0.27999999999999997,,0.26666666666666666,0.8933333333333334,0.8666666666666667,,0.9533333333333333,,0.19999999999999998,0.32,0.2333333333333333,,0.68
